HUC	BASIN_ID
07	05414000
07	05444000
07	05454000
07	05458000
07	05466500
07	05487980
07	05489000
07	05495000
07	05495500
07	05501000
07	05503800
07	05507600
07	05508805
07	05514500
07	05525500
07	05556500
07	05584500
07	05585000
07	05591550
07	05592050
07	05593575
07	05593900
07	05595730
07	07014500
08	07291000
08	07292500
08	07362100
08	07375000
08	08013000
08	08014500
09	05056000
09	05057000
09	05057200
09	05120500
09	05123400
09	05129115
09	05131500
10	06191500
10	06224000
10	06278300
10	06280300
10	06289000
10	06311000
10	06332515
10	06339100
10	06339500
10	06344600
10	06350000
10	06352000
10	06353000
10	06354000
10	06360500
10	06404000
10	06406000
10	06409000
10	06431500
10	06447000
10	06447500
10	06450500
10	06452000
10	06453600
10	06464500
10	06468170
10	06470800
10	06477500
10	06479438
10	06601000
10	06614800
10	06622700
10	06623800
10	06632400
10	06746095
10	06784000
10	06803510
10	06803530
10	06814000
10	06847900
10	06853800
10	06876700
10	06878000
10	06879650
10	06885500
10	06888500
10	06889200
10	06889500
10	06892000
10	06903400
10	06910800
10	06911900
10	06917000
10	06918460
10	06919500
10	06921070
10	06921200
11	07056000
11	07057500
11	07060710
11	07066000
11	07067000
11	07068000
11	07071500
11	07083000
11	07142300
11	07145700
11	07148400
11	07149000
11	07151500
11	07167500
11	07180500
11	07184000
11	07195800
11	07196900
11	07197000
11	07208500
11	07226500
11	07261000
11	07299670
11	07301410
11	07301500
11	07315200
11	07315700
11	07335700
11	07340300
11	07346045
12	08023080
12	08029500
12	08066200
12	08066300
12	08070000
12	08079600
12	08082700
12	08086212
12	08086290
12	08101000
12	08103900
12	08104900
12	08109700
12	08150800
12	08158700
12	08158810
12	08164000
12	08164300
12	08164600
12	08165300
12	08171300
12	08175000
12	08176900
12	08189500
12	08190000
12	08190500
12	08194200
12	08195000
12	08196000
12	08198500
12	08200000
12	08202700
13	08267500
13	08269000
13	08271000
13	08324000
13	08377900
13	08378500
13	08380500
14	09034900
14	09035800
14	09035900
14	09047700
14	09065500
14	09066000
14	09066200
14	09066300
14	09081600
14	09210500
14	09223000
14	09306242
14	09312600
14	09352900
14	09378630
15	09386900
15	09404450
15	09430500
15	09430600
15	09480000
15	09492400
15	09494000
15	09497980
15	09505350
15	09505800
15	09508300
15	09510200
15	09512280
15	09513780
16	10172700
16	10172800
16	10205030
16	10234500
16	10242000
16	10244950
16	10249300
16	10316500
16	10329500
16	10336645
16	10336660
16	10343500
17	10396000
17	12010000
17	12013500
17	12020000
17	12025700
17	12035000
17	12040500
17	12041200
17	12048000
17	12054000
17	12056500
17	12073500
17	12082500
17	12092000
17	12114500
17	12115000
17	12115500
17	12117000
17	12145500
17	12147500
17	12147600
17	12167000
17	12175500
17	12178100
17	12186000
17	12189500
17	12358500
17	12390700
17	12411000
17	12414500
17	12447390
17	12451000
17	12488500
17	13011500
17	13011900
17	13018300
17	13023000
17	13083000
17	13161500
17	13235000
17	13240000
17	13313000
17	13331500
17	13337000
17	13338500
17	13340000
17	13340600
17	14020000
17	14137000
17	14138800
17	14138870
17	14138900
17	14139800
17	14141500
17	14154500
17	14158500
17	14158790
17	14166500
17	14182500
17	14185000
17	14185900
17	14222500
17	14236200
17	14301000
17	14305500
17	14306500
17	14309500
17	14316700
17	14325000
17	14400000
18	10258500
18	10259000
18	10259200
18	10263500
18	11098000
18	11124500
18	11141280
18	11143000
18	11148900
18	11151300
18	11162500
18	11176400
18	11180500
18	11180960
18	11224500
18	11230500
18	11237500
18	11253310
18	11264500
18	11266500
18	11274500
18	11274630
18	11284400
18	11381500
18	11383500
18	11451100
18	11468500
18	11473900
18	11475560
18	11476600
18	11478500
18	11480390
18	11481200
18	11482500
18	11522500
18	11523200
18	11528700
18	11532500
